ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0001503,ossification, 18/19,429/18614,4.40E-29,5.46E-26,3.02E-26,HNRNPU/GTPBP4/RBMX/SNRNP200/RPL38/SYNCRIP/MYBBP1A/SIRT7/DHX9/SFRP1/HIF1A/AXIN2/DDX21/IGFBP3/IFITM1/ADAR/FBL/ALYREF,18
GO:0001649,osteoblast differentiation, 16/19,250/18614,6.46E-28,4.01E-25,2.22E-25,HNRNPU/GTPBP4/RBMX/SNRNP200/SYNCRIP/MYBBP1A/SIRT7/DHX9/SFRP1/AXIN2/DDX21/IGFBP3/IFITM1/ADAR/FBL/ALYREF,16
GO:0022613,ribonucleoprotein complex biogenesis, 9/19,475/18614,3.13E-10,1.30E-07,7.17E-08,GTPBP4/SNRNP200/RPL38/MYBBP1A/SIRT7/DHX9/DDX21/ADAR/FBL,9
GO:1903312,negative regulation of mRNA metabolic process, 5/19,96/18614,3.61E-08,1.12E-05,6.19E-06,HNRNPU/RBMX/SYNCRIP/DHX9/AXIN2,5
GO:0070934,CRD-mediated mRNA stabilization, 3/19,11/18614,1.48E-07,3.68E-05,2.03E-05,HNRNPU/SYNCRIP/DHX9,3
GO:1900152,"negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay", 3/19,12/18614,1.97E-07,4.08E-05,2.26E-05,HNRNPU/SYNCRIP/DHX9,3
GO:0042254,ribosome biogenesis, 6/19,298/18614,3.65E-07,5.52E-05,3.05E-05,GTPBP4/RPL38/MYBBP1A/SIRT7/DDX21/FBL,6
GO:0006397,mRNA processing, 7/19,500/18614,3.68E-07,5.52E-05,3.05E-05,HNRNPU/RBMX/SNRNP200/SYNCRIP/DHX9/ADAR/ALYREF,7
GO:2000767,positive regulation of cytoplasmic translation, 3/19,15/18614,4.07E-07,5.52E-05,3.05E-05,HNRNPU/SYNCRIP/DHX9,3
GO:0048255,mRNA stabilization, 4/19,63/18614,4.44E-07,5.52E-05,3.05E-05,HNRNPU/SYNCRIP/DHX9/AXIN2,4
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile", 6/19,325/18614,6.06E-07,6.22E-05,3.44E-05,HNRNPU/RBMX/SNRNP200/SYNCRIP/DHX9/ALYREF,6
GO:0000398,"mRNA splicing, via spliceosome", 6/19,325/18614,6.06E-07,6.22E-05,3.44E-05,HNRNPU/RBMX/SNRNP200/SYNCRIP/DHX9/ALYREF,6
GO:0000375,"RNA splicing, via transesterification reactions", 6/19,329/18614,6.51E-07,6.22E-05,3.44E-05,HNRNPU/RBMX/SNRNP200/SYNCRIP/DHX9/ALYREF,6
GO:0043489,RNA stabilization, 4/19,72/18614,7.63E-07,6.68E-05,3.69E-05,HNRNPU/SYNCRIP/DHX9/AXIN2,4
GO:1902373,negative regulation of mRNA catabolic process, 4/19,73/18614,8.07E-07,6.68E-05,3.69E-05,HNRNPU/SYNCRIP/DHX9/AXIN2,4
GO:1902369,negative regulation of RNA catabolic process, 4/19,85/18614,1.49E-06,1.16E-04,6.39E-05,HNRNPU/SYNCRIP/DHX9/AXIN2,4
GO:1900151,"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay", 3/19,26/18614,2.31E-06,1.69E-04,9.32E-05,HNRNPU/SYNCRIP/DHX9,3
GO:2000765,regulation of cytoplasmic translation, 3/19,29/18614,3.24E-06,2.24E-04,1.24E-04,HNRNPU/SYNCRIP/DHX9,3
GO:0008380,RNA splicing, 6/19,466/18614,4.90E-06,3.21E-04,1.77E-04,HNRNPU/RBMX/SNRNP200/SYNCRIP/DHX9/ALYREF,6
GO:0045943,positive regulation of transcription by RNA polymerase I, 3/19,35/18614,5.78E-06,3.59E-04,1.98E-04,MYBBP1A/SIRT7/DDX21,3
GO:0006356,regulation of transcription by RNA polymerase I, 3/19,46/18614,1.33E-05,7.87E-04,4.35E-04,MYBBP1A/SIRT7/DDX21,3
GO:1903311,regulation of mRNA metabolic process, 5/19,329/18614,1.59E-05,8.96E-04,4.95E-04,HNRNPU/RBMX/SYNCRIP/DHX9/AXIN2,5
GO:0002181,cytoplasmic translation, 4/19,159/18614,1.80E-05,9.71E-04,5.36E-04,HNRNPU/RPL38/SYNCRIP/DHX9,4
GO:1903313,positive regulation of mRNA metabolic process, 4/19,166/18614,2.13E-05,0.001102183,6.09E-04,HNRNPU/RBMX/SYNCRIP/DHX9,4
GO:0006360,transcription by RNA polymerase I, 3/19,64/18614,3.61E-05,0.001794244,9.91E-04,MYBBP1A/SIRT7/DDX21,3
GO:0043488,regulation of mRNA stability, 4/19,195/18614,4.00E-05,0.001907679,0.001054163,HNRNPU/SYNCRIP/DHX9/AXIN2,4
GO:0006403,RNA localization, 4/19,197/18614,4.16E-05,0.001907679,0.001054163,HNRNPU/DHX9/FBL/ALYREF,4
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay", 3/19,68/18614,4.33E-05,0.001907679,0.001054163,HNRNPU/SYNCRIP/DHX9,3
